ATEN IR OP;                              SUPPORTED
aten::_adaptive_avg_pool2d;              YES
aten::_adaptive_avg_pool2d_backward;     YES
aten::_log_softmax;                      YES
aten::_native_batch_norm_legit.no_stats; YES
aten::_softmax;                          YES
aten::_to_copy;                          YES
aten::abs;                               YES
aten::acos;                              YES
aten::acosh;                             YES
aten::add.Scalar;                        YES
aten::add.Tensor;                        YES
aten::addmm;                             YES
aten::alias;                             YES
aten::amax;                              YES
aten::amin;                              YES
aten::arange.start_step;                 YES
aten::argmax;                            YES
aten::argmin;                            YES
aten::as_strided;                        YES
aten::asin;                              YES
aten::asinh;                             YES
aten::atan;                              YES
aten::atanh;                             YES
aten::avg_pool2d;                        YES
aten::avg_pool2d_backward;               YES
aten::bitwise_and.Tensor;                YES
aten::bitwise_not;                       YES
aten::bitwise_or.Tensor;                 YES
aten::bitwise_xor.Tensor;                YES
aten::bmm;                               YES
aten::cat;                               YES
aten::clamp;                             YES
aten::clone;                             YES
aten::col2im;                            NO
aten::constant_pad_nd;                   YES
aten::convolution;                       YES
aten::convolution_backward;              YES
aten::cos;                               YES
aten::cosh;                              YES
aten::div.Scalar;                        YES
aten::div.Tensor;                        YES
aten::embedding_dense_backward;          YES
aten::empty.memory_format;               YES
aten::empty_strided;                     YES
aten::eq.Scalar;                         YES
aten::eq.Tensor;                         YES
aten::erf;                               YES
aten::exp;                               YES
aten::expand;                            YES
aten::fill.Scalar;                       YES
aten::flip;                              YES
aten::floor;                             YES
aten::fmod.Tensor;                       YES
aten::full;                              YES
aten::gather;                            YES
aten::ge.Scalar;                         YES
aten::ge.Tensor;                         YES
aten::gelu;                              YES
aten::grid_sampler_2d;                   YES
aten::gt.Scalar;                         YES
aten::gt.Tensor;                         YES
aten::hardtanh;                          YES
aten::index_select;                      YES
aten::isinf;                             YES
aten::isnan;                             YES
aten::le.Scalar;                         YES
aten::le.Tensor;                         YES
aten::leaky_relu;                        YES
aten::log;                               YES
aten::logical_and;                       YES
aten::logical_not;                       YES
aten::logical_or;                        YES
aten::lt.Scalar;                         YES
aten::lt.Tensor;                         YES
aten::max.dim;                           YES
aten::max_pool2d_with_indices;           YES
aten::max_pool2d_with_indices_backward;  YES
aten::max_pool3d_with_indices;           YES
aten::maximum;                           YES
aten::mean.dim;                          YES
aten::min.dim;                           YES
aten::minimum;                           YES
aten::mm;                                YES
aten::mul.Scalar;                        YES
aten::mul.Tensor;                        YES
aten::native_batch_norm;                 YES
aten::native_dropout;                    YES
aten::native_group_norm;                 YES
aten::native_group_norm_backward;        YES
aten::native_layer_norm;                 YES
aten::native_layer_norm_backward;        YES
aten::ne.Scalar;                         YES
aten::ne.Tensor;                         YES
aten::neg;                               YES
aten::nonzero;                           NO
aten::permute;                           YES
aten::pow.Tensor_Scalar;                 YES
aten::pow.Tensor_Tensor;                 YES
aten::rand;                              NO
aten::randn;                             NO
aten::reciprocal;                        YES
aten::reflection_pad2d;                  YES
aten::relu;                              YES
aten::remainder.Tensor;                  YES
aten::repeat;                            YES
aten::replication_pad2d;                 YES
aten::replication_pad3d;                 YES
aten::rsqrt;                             YES
aten::scalar_tensor;                     YES
aten::scatter_add;                       YES
aten::scatter_reduce.two;                YES
aten::select.int;                        YES
aten::sigmoid;                           YES
aten::sign;                              YES
aten::sin;                               YES
aten::sinh;                              YES
aten::slice.Tensor;                      YES
aten::slice_scatter;                     YES
aten::sqrt;                              YES
aten::squeeze.dim;                       YES
aten::squeeze.dims;                      YES
aten::sub.Scalar;                        YES
aten::sub.Tensor;                        YES
aten::sum.dim_IntList;                   YES
aten::tanh;                              YES
aten::topk;                              YES
aten::unsqueeze;                         YES
aten::upsample_bilinear2d.vec;           YES
aten::upsample_nearest2d.vec;            YES
aten::var.dim;                           NO
aten::view;                              YES
aten::where.self;                        YES
