../../habana_kernels/kernels_register.cpp:2582;       hccl; allgather_out;                                      allgather_out(Tensor input_tensor, int64_t comm_id, Tensor(a!) output_tensor) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2576;       hccl; allreduce_;                                         allreduce_(Tensor(a!) tensor, uint8_t reduceOp, int64_t comm_id) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2580;       hccl; alltoall_out;                                       alltoall_out(Tensor input_tensor, int64_t comm_id,int[]  outputSplitSizes, int[] inputSplitSizes, Tensor(a!) output_tensor) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2574;       hccl; broadcast_;                                         broadcast_(Tensor(a!) tensor, int root_rank, int64_t comm_id) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2588;       hccl; recv_;                                              recv_(Tensor(a!) tensor,  int64_t src_rank,  int64_t tag, int64_t comm_id) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2578;       hccl; reduce_;                                            reduce_(Tensor(a!) tensor, int64_t dst_rank, uint8_t reduceOp, int64_t comm_id) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2584;       hccl; reduce_scatter_out;                                 reduce_scatter_out(Tensor input_tensor, uint8_t reduceOp, int64_t comm_id, Tensor(a!) output_tensor) -> Tensor(a!);
../../habana_kernels/kernels_register.cpp:2586;       hccl; send_;                                              send_(Tensor(a!) tensor,  int64_t dst_rank,  int64_t tag, int64_t comm_id) -> Tensor(a!);
../../habana_eager/ops/copy_from.cpp:441;             hpu;  _copy_from;                                         _copy_from(Tensor self, Tensor dst) -> Tensor;
../../generated/backend/hpu_op0.cpp:1088;             hpu;  _fused_dropout;                                     _fused_dropout(Tensor self, float p, Tensor? seed) -> (Tensor, Tensor);
../../habana_eager/ops/index_put.cpp:496;             hpu;  _index_put_impl_bool_eager;                         _index_put_impl_bool_eager(Tensor self, Tensor[] indices, Tensor value, bool accumulate=False) -> Tensor;
../../habana_eager/ops/index_put.cpp:492;             hpu;  _index_put_impl_eager;                              _index_put_impl_eager(Tensor self, Tensor[] indices, Tensor value, bool accumulate=False) -> Tensor;
../../habana_kernels/kernels_register.cpp:2232;       hpu;  _unique;                                            _unique(Tensor self, bool sorted, bool return_inverse) -> (Tensor, Tensor);
../../habana_kernels/kernels_register.cpp:2234;       hpu;  _unique2;                                           _unique2(Tensor self, bool sorted, bool return_inverse, bool return_counts) -> (Tensor, Tensor);
../../habana_eager/ops/unique2.cpp:137;               hpu;  _unique2_eager;                                     _unique2_eager(Tensor self, bool sorted, bool return_inverse, bool return_counts) -> (Tensor, Tensor, Tensor, Tensor);
../../habana_eager/ops/unique.cpp:91;                 hpu;  _unique_eager;                                      _unique_eager(Tensor self, bool sorted, bool return_inverse) -> (Tensor, Tensor, Tensor);
../../generated/backend/hpu_op6.cpp:1155;             hpu;  addcdiv;                                            addcdiv(Tensor self, Tensor tensor1, Tensor tensor2, *, Tensor? value=None) -> Tensor;
../../generated/backend/hpu_op6.cpp:1154;             hpu;  addcdiv.out;                                        addcdiv.out(Tensor self, Tensor tensor1, Tensor tensor2, *, Tensor? value=None, Tensor(a!) out) -> Tensor(a!);
../../generated/backend/hpu_op6.cpp:1156;             hpu;  addcdiv_;                                           addcdiv_(Tensor(a!) self, Tensor tensor1, Tensor tensor2, *, Tensor? value=None) -> Tensor(a!);
../../generated/backend/hpu_op6.cpp:1152;             hpu;  addcmul;                                            addcmul(Tensor self, Tensor tensor1, Tensor tensor2, *, Tensor? value=None) -> Tensor;
../../generated/backend/hpu_op6.cpp:1151;             hpu;  addcmul.out;                                        addcmul.out(Tensor self, Tensor tensor1, Tensor tensor2, *, Tensor? value=None, Tensor(a!) out) -> Tensor(a!);
../../generated/backend/hpu_op6.cpp:1153;             hpu;  addcmul_;                                           addcmul_(Tensor(a!) self, Tensor tensor1, Tensor tensor2, *, Tensor? value=None) -> Tensor(a!);
../../generated/backend/hpu_op0.cpp:1091;             hpu;  arange.start_out;                                   arange.start_out(Scalar start, Scalar end, Scalar step, *, Tensor? h2d_tensor=None, Tensor? shape_tensor=None, Tensor(a!) out) -> Tensor(a!);
../../generated/backend/hpu_op0.cpp:1090;             hpu;  arange.start_step;                                  arange.start_step(Tensor h2d_tensor, Tensor shape_tensor,*, ScalarType? dtype=None, Layout? layout=None, Device? device=None, bool? pin_memory=None) -> (Tensor);
../../habana_kernels/kernels_register.cpp:2301;       hpu;  as_strided_layout;                                  as_strided_layout(Tensor self, int[] size) -> (Tensor);
