OP;                                                                  CPU; GPU; HPU; COMPOUND; DI_DE; MISSING; TERT; IN_TOPOS; COUNT; TOPOS_LIST
_quantized::linear_dynamic;                                          YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
_quantized::linear_prepack_fp16;                                     YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
_quantized::linear_prepack_fp16_legacy;                              YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
aten::__and__.Scalar;                                                NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::__and__.Tensor;                                                NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::__iand__.Scalar;                                               NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::__iand__.Tensor;                                               NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::__ilshift__.Scalar;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::__ilshift__.Tensor;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::__ior__.Scalar;                                                NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::__ior__.Tensor;                                                NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::__irshift__.Scalar;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::__irshift__.Tensor;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::__ixor__.Scalar;                                               NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::__ixor__.Tensor;                                               NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::__lshift__.Scalar;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::__lshift__.Scalar_out;                                         NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::__lshift__.Tensor;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::__lshift__.Tensor_out;                                         NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::__or__.Scalar;                                                 NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::__or__.Tensor;                                                 NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::__rshift__.Scalar;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::__rshift__.Scalar_out;                                         NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::__rshift__.Tensor;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::__rshift__.Tensor_out;                                         NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::__xor__.Scalar;                                                NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::__xor__.Tensor;                                                NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_adaptive_avg_pool2d;                                          YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_adaptive_avg_pool2d.out;                                      NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_adaptive_avg_pool2d_backward;                                 YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_adaptive_avg_pool2d_backward.out;                             NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_adaptive_avg_pool3d;                                          YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_adaptive_avg_pool3d.out;                                      NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_adaptive_avg_pool3d_backward;                                 YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_adaptive_avg_pool3d_backward.out;                             NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_add_batch_dim;                                                NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_add_relu.Scalar;                                              YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_add_relu.Scalar_out;                                          NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_add_relu.Tensor;                                              YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_add_relu.out;                                                 YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_add_relu_.Scalar;                                             YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_add_relu_.Tensor;                                             YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_addmm_activation;                                             YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_addmm_activation.out;                                         YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_aminmax;                                                      YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_aminmax.dim;                                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_aminmax.dim_out;                                              NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_aminmax.out;                                                  NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_amp_foreach_non_finite_check_and_unscale;                     NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_amp_foreach_non_finite_check_and_unscale.out;                 NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_amp_foreach_non_finite_check_and_unscale_;                    NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_amp_update_scale;                                             NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_amp_update_scale.out;                                         NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_amp_update_scale_;                                            NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_assert_async;                                                 YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_assert_async.msg;                                             YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_assert_tensor_metadata;                                       NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_autocast_to_full_precision;                                   NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_autocast_to_reduced_precision;                                NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_backward;                                                     NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_batch_norm_impl_index;                                        NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_batch_norm_impl_index_backward;                               NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_cast_Byte;                                                    NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_cast_Char;                                                    NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_cast_Double;                                                  NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_cast_Float;                                                   NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_cast_Half;                                                    NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_cast_Int;                                                     NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_cast_Long;                                                    NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_cast_Short;                                                   NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::_cdist_backward;                                               YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_cdist_backward.out;                                           NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_cdist_forward;                                                YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
