OP;                                                              CPU; GPU; HPU; COMPOUND; DI_DE; MISSING; TERT; IN_TOPOS; COUNT; TOPOS_LIST
_quantized::linear_dynamic;                                      YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
_quantized::linear_prepack_fp16;                                 YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
_quantized::linear_prepack_fp16_legacy;                          YES; NO;  NO;  NA;       NA;    NO;      NO;   NO;           0;
aten::__ilshift__;                                               YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::__irshift__;                                               YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::__lshift__;                                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::__rshift__;                                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_adaptive_avg_pool2d;                                      YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_adaptive_avg_pool2d_backward;                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_adaptive_avg_pool3d;                                      YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_adaptive_avg_pool3d_backward;                             YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_add_relu;                                                 YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_addmm_activation;                                         YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_aminmax;                                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_amp_foreach_non_finite_check_and_unscale;                 NO;  YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_amp_update_scale;                                         NO;  YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_assert_async;                                             YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_cdist_backward;                                           YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_cdist_forward;                                            YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_cholesky_solve_helper;                                    YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_compute_linear_combination;                               YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_conv_depthwise2d;                                         NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_convert_indices_from_coo_to_csr;                          YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_convert_indices_from_csr_to_coo;                          YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_copy_from_and_resize;                                     NO;  NO;  YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_ctc_loss;                                                 YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_ctc_loss_backward;                                        YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_cudnn_ctc_loss;                                           NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_cudnn_init_dropout_state;                                 NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_cudnn_rnn;                                                NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_cudnn_rnn_backward;                                       NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_cudnn_rnn_flatten_weight;                                 NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_cummax_helper;                                            YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_cummin_helper;                                            YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_dirichlet_grad;                                           YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_efficientzerotensor;                                      YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_embedding_bag;                                            YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_embedding_bag_dense_backward;                             YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_embedding_bag_forward_only;                               YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_embedding_bag_per_sample_weights_backward;                YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_empty_affine_quantized;                                   YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_empty_per_channel_affine_quantized;                       YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_fake_quantize_learnable_per_channel_affine;               YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_fake_quantize_learnable_per_channel_affine_backward;      YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_fake_quantize_learnable_per_tensor_affine;                YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_fake_quantize_learnable_per_tensor_affine_backward;       YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_fake_quantize_per_tensor_affine_cachemask_tensor_qparams; YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_fft_c2c;                                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_fft_c2r;                                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_fft_r2c;                                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_flash_scaled_dot_product_attention;                       NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foobar;                                                   YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_abs;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_acos;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_add;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_addcdiv;                                          YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_addcmul;                                          YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_asin;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_atan;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_ceil;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_cos;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_cosh;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_div;                                              YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_erf;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_erfc;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_exp;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_expm1;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_floor;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_frac;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_lgamma;                                           YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_log;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_log10;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_log1p;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_log2;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_maximum;                                          YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
